Array Size,Thread Count,Time (ms),Speedup,Efficiency (%),F Amdahl
100000,1,287.169,1.06026,106.026,0
100000,2,149.153,2.04137,102.068,1.02026
100000,3,112.297,2.71134,90.3781,0.946769
100000,4,91.2234,3.33769,83.4422,0.933855
100000,5,82.515,3.68993,73.7987,0.911241
100000,6,73.1107,4.16458,69.4096,0.911855
100000,7,70.0883,4.34416,62.0595,0.898107
100000,8,64.5746,4.71509,58.9386,0.900474
100000,1,303.582,1.04137,104.137,0
100000,2,154.574,2.04525,102.263,1.02213
100000,3,109.171,2.89585,96.5283,0.982017
100000,4,86.8397,3.64053,91.0133,0.967086
100000,5,76.5645,4.12911,82.5821,0.947271
100000,6,74.8539,4.22347,70.3911,0.915873
100000,7,69.8678,4.52487,64.6411,0.908833
100000,8,70.563,4.48029,56.0036,0.887772
