Array Size,Thread Count,Time (ms),Speedup,Efficiency (%),F Amdahl
1000000,1,2794.66,0.994353,99.4353,0
1000000,2,1503.43,1.84835,92.4177,0.917956
1000000,3,1083.68,2.56429,85.4763,0.915042
1000000,4,921.177,3.01666,75.4165,0.891343
1000000,5,1006.34,2.76137,55.2275,0.797327
1000000,6,852.532,3.25956,54.326,0.831852
1000000,7,880.441,3.15623,45.089,0.797028
1000000,8,863.344,3.21874,40.2342,0.787793
1000000,1,2897.24,1.00698,100.698,0
1000000,2,1545.57,1.88762,94.3811,0.940466
1000000,3,1079.77,2.70192,90.064,0.944839
1000000,4,822.019,3.54913,88.7282,0.957654
1000000,5,755.746,3.86036,77.2071,0.926196
1000000,6,733.919,3.97516,66.2527,0.898126
1000000,7,652.818,4.46901,63.8429,0.905609
1000000,8,613.483,4.75555,59.4444,0.902537
